sale_id,date,customer_id,product_id,quantity
604755-UI9CV,12/03/2018,416026-6246HI,31-Wns,2
604756-YEBEH,12/07/2018,416336-BC76UB,072-CNo,5
604757-2DMI6,06/22/2022,417417-6CP7SA,05-Cor,3
604758-WM0M7,11/18/2017,416104-D96QE3,32-Wns,3
604759-I7GKR,07/26/2019,417351-RYSAUU,216-WCo,5
604760-TQLXK,04/21/2017,416871-WH0MX1,13-Sns,5
604761-5FZJE,09/21/2018,417047-1OB537,68-Prs,4
604762-9QUW0,11/03/2021,417063-AELYYZ,09-Sns,4
604763-AYMTF,08/31/2017,416475-XYFC4K,207-WCo,3
604764-3O7FY,04/18/2019,417362-3IGK38,84-Srs,1
604765-W06Q7,01/03/2020,416556-N4U9BX,025-NCo,1
604766-XXPKC,02/20/2021,416968-TB34KU,120-RNo,5
604767-W1VKZ,12/24/2017,416916-M21B07,159-SCo,2
604768-PPCI1,03/10/2019,416179-R11Q7U,01-Cns,3
604769-AS894,08/23/2017,416124-NRIUU9,005-BCo,2
604770-YXBBY,08/07/2022,416735-ODWMQX,91-Srs,3
604771-6Y3N0,11/03/2022,417097-DTAEGR,69-Prs,2
604772-0TRKV,10/01/2017,416157-DD03UV,64-Mrs,1
604773-EIPEO,03/24/2023,417387-IT1EKK,18-Pon,2
604774-O3ALU,07/03/2023,416131-63J3R3,146-SSu,1
604775-VLLAH,05/02/2021,417262-34GADK,21-Brs,4
604776-WY9ZV,05/24/2018,417075-5ED5GG,096-INo,4
604777-70AK4,07/03/2017,416512-3ODSX4,25-Crs,4
604778-473EX,10/01/2021,416031-3QK2IA,84-Srs,1
604779-S66TF,03/31/2020,416362-B9YO18,038-SCo,3
604780-CJP0F,11/03/2017,416330-DDFGS3,06-Sor,1
604781-KYV6F,11/02/2020,416594-6WW8YL,105-QNo,3
604782-3W1QR,07/25/2022,416839-32LX2T,14-Brs,5
604783-CJ3H6,06/10/2020,416014-E6IVWP,04-Aon,4
604784-W9E9L,05/05/2017,416036-ZA7TZ0,098-LNo,2
604785-AY0PQ,02/14/2019,416744-3DO700,267-PCo,3
604786-IR23H,04/01/2021,416055-AM148P,026-NCo,5
604787-DD4I6,08/12/2022,417128-9FC1XX,24-Crs,2
604788-ERP4S,06/05/2019,416373-QJ5SXV,89-Srs,3
604789-QZX7O,10/05/2022,416274-EWVIYT,09-Pon,5
604790-LNR8X,04/17/2023,416800-FXB4Y4,136-GSu,1
604791-CLLZ9,09/21/2021,416213-A2M0W1,02-Lor,5
604792-SHG88,08/18/2021,416051-SWJCKJ,18-Pon,1
604793-JRR7T,04/05/2023,416920-QR6F7Q,54-Hrs,1
604794-M4G5M,05/08/2018,416022-JR64DP,077-DNo,2
604795-DPKM8,08/30/2023,416816-04K0LT,103-Fnt,4
604796-JTCV0,07/22/2023,417168-T2KODW,,5
604797-LGFNK,09/21/2020,416839-32LX2T,28-Crs,1
604798-NNV05,12/31/2023,417278-W6L01W,10-Sns,4
604799-NHQLR,08/20/2022,416634-UFWBUC,35-Cns,3
604800-BLKFI,01/14/2021,417312-V917RM,097-INo,4
604801-AP7IB,10/09/2021,417328-XNZ0NX,296-ICo,4
602502-TDD49,11/01/2023,416517-JPNBZU,243-SCo,5
602503-KPS0L,07/13/2019,417296-J60SRY,270-GCo,2
602504-QAPGS,01/30/2022,416205-4X2EK3,48-Hrs,1
602505-N204O,04/13/2022,416538-FZWKXX,70-Prs,3
602506-8MAWZ,12/05/2018,416969-QAAJ84,10-Cor,5
602507-EBT9Y,06/12/2017,417055-585I87,228-MCo,2
602508-XU0J6,03/16/2021,416472-5QJICJ,024-NCo,5
602509-3A7T6,12/05/2020,416020-KX7EED,084-ENo,4
602510-4PHKT,10/24/2017,416788-QPWBSF,06-Sor,1
602511-C17PR,01/02/2023,416443-LDIMSY,24-Crs,3
602512-MFJ93,06/24/2022,417357-T2EEHF,20-Hns,1
602513-D6587,02/13/2017,416369-IGFU8I,105-Lnt,2
602514-8RGJ1,04/20/2017,417168-T2KODW,079-DNo,3
602515-EJMH1,05/29/2020,416163-GZLMA5,72-Prs,1
602516-CAGA8,02/24/2022,417117-JMMB5J,001-ACo,4
602517-2XJG2,07/11/2019,416943-K8DJZR,295-ICo,2
602518-8Y2D4,10/30/2020,416490-83EP9P,36-Lns,3
602519-7UI64,01/10/2023,,158-VCo,6666
